trial;fixation;time_from;time_to;duration;x_centroid;y_centroid;variance;average_velocity
1;1.0;507289.0;508713.0;1424.0;949.0118175438597;541.3616701754388;58.71703144545625;6.013047784626941
1;2.0;508752.0;508933.0;181.0;539.9645054945051;536.5036263736265;12.741332997372417;16.461115799465283
2;1.0;516764.0;518410.0;1646.0;947.0765755919842;533.5031208257449;53.802420208637365;5.611076361716645
2;2.0;518517.0;518614.0;97.0;896.1314285714262;68.28489795918584;5.955464005449122;14.673857125168539
2;3.0;518625.0;518692.0;67.0;924.8064705882332;139.42764705882573;4.130230688028513;12.867177542160784
3;1.0;524744.0;526384.0;1640.0;958.1242413162705;538.0030347349177;54.68747923418404;5.968939536824057
3;2.0;526413.0;526606.0;193.0;577.1842268041241;538.6486597938151;3.874378424086407;10.019704646363744
4;1.0;528830.0;529956.0;1126.0;956.246992014196;530.5715173025741;65.60730784581709;5.88580050768188
4;2.0;529999.0;530183.0;184.0;943.2435675675688;184.34097297297444;4.784426012776364;9.939099369289472
5;1.0;538399.0;540043.0;1644.0;964.5416170212785;559.8549179331299;57.28409914275802;6.037735184052834
5;2.0;540084.0;540182.0;98.0;957.3791919191937;1023.2779797979781;5.525792901021583;14.336809569969574
5;3.0;540190.0;540261.0;71.0;963.704166666668;964.2702777777754;3.1487333089064737;14.058836189195295
6;1.0;542116.0;543570.0;1454.0;954.5706529209627;548.7262130584196;58.058169029051925;5.648127878635473
6;2.0;543600.0;543791.0;191.0;557.5881250000022;544.2922916666673;3.9427723409599276;10.446681892112489
7;1.0;545923.0;546952.0;1029.0;955.3601747572827;535.858640776699;68.4395641385975;5.834666612290227
7;2.0;546994.0;547174.0;180.0;1351.107624309395;542.8786740331489;3.1112484927343727;7.691377413107436
8;1.0;549454.0;550628.0;1174.0;944.9440851063843;545.7443404255322;63.97684306229327;5.657691018257242
8;2.0;550669.0;550849.0;180.0;534.1229834254167;544.9446408839785;3.981780391512156;8.997757041831234
9;1.0;554097.0;555756.0;1659.0;955.7836144578298;553.0973855421689;55.18900536658828;5.8478703611260014
9;2.0;555792.0;555975.0;183.0;957.5269565217367;912.7464130434782;4.2281129053690165;8.73867629474488
10;1.0;558554.0;559620.0;1066.0;954.8363448922205;527.7293158388004;67.08740959308005;5.6302555246617425
10;2.0;559643.0;559822.0;179.0;669.3357777777767;541.2521111111108;5.268766874963835;13.851094354538647
10;3.0;559857.0;559979.0;122.0;948.6551219512186;517.646829268293;3.515338904645613;10.139128576735194
10;4.0;560002.0;560197.0;195.0;965.6466326530601;896.743571428572;5.617119276559622;12.800109818809592
11;1.0;563021.0;564092.0;1071.0;953.5510447761203;548.1410634328352;67.56871822433109;5.940608799369109
11;2.0;564130.0;564222.0;92.0;966.5961290322593;990.9772043010744;5.21127136528948;19.75124033313648
11;3.0;564231.0;564310.0;79.0;976.9190000000019;930.2369999999999;2.870515633122374;13.808580524599037
12;1.0;566079.0;567021.0;942.0;965.2995970307543;539.40131495228;72.89205708310996;8.345603158946952
12;2.0;567054.0;567178.0;124.0;944.6643200000015;249.88176000000007;5.621872485213402;13.899038253946005
12;3.0;567187.0;567381.0;194.0;942.0498461538475;187.47517948717973;1.9909386577661508;8.11450597270995
13;1.0;569513.0;570432.0;919.0;966.8479565217395;537.0356956521739;73.19754061496464;6.513173438800242
13;2.0;570473.0;570654.0;181.0;1348.6252747252738;537.1289010989008;3.010818694549279;8.526377897875768
14;1.0;572671.0;573832.0;1161.0;958.9256798623061;549.8838037865746;65.03472363988185;6.178228062952564
14;2.0;573870.0;574051.0;181.0;968.0402197802189;936.8284615384614;9.47930636877962;19.810736970027342
15;1.0;576110.0;577633.0;1523.0;933.4095406824151;533.1811811023621;55.93578019249491;6.210748630529167
15;2.0;577673.0;577851.0;178.0;929.2698324022346;941.3521787709498;4.981164379622787;8.7436240485523
16;1.0;580012.0;581447.0;1435.0;961.6455431754888;531.5745125348185;58.225321405810725;6.4117272566528225
16;2.0;581480.0;581644.0;164.0;1208.8968484848497;530.938424242424;3.0328879641559636;8.871928789403151
16;3.0;581657.0;581851.0;194.0;1321.529230769233;537.4855384615377;15.61798434137949;13.25692854855276
17;1.0;584004.0;584989.0;985.0;949.2781744421914;527.508519269777;69.61121713973687;6.1544589593998555
17;2.0;585032.0;585211.0;179.0;550.6911111111125;524.3770000000003;3.2202233857795295;8.186983602097664
18;1.0;587161.0;588461.0;1300.0;936.7426441199086;538.738708685627;60.78751294724248;6.606130531871395
18;2.0;588501.0;588682.0;181.0;543.8183516483534;544.5670329670348;2.467558858752991;8.776957167908334
19;1.0;590412.0;591606.0;1194.0;948.3640334728057;533.4526861924686;63.28808801464106;6.865292123731391
19;2.0;591645.0;591827.0;182.0;968.6084153005507;915.1574863387979;9.103517210203028;14.122236396486347
20;1.0;593503.0;594688.0;1185.0;954.5538448566607;548.8927824620574;64.11155304466395;6.348546285168485
20;2.0;594729.0;594810.0;81.0;960.4639024390249;1001.9721951219525;5.713364900738782;21.02582514500107
20;3.0;594820.0;594907.0;87.0;964.7677272727273;919.8879545454557;3.417900700178571;12.415316212177489
21;1.0;596542.0;597920.0;1378.0;961.5057868020322;547.6077447425673;60.01470609422435;6.024923608081847
21;2.0;597961.0;598142.0;181.0;1347.9971428571453;548.136043956044;3.0412219799785825;8.775972508670252
22;1.0;600350.0;601323.0;973.0;952.5819507186857;524.3240862423002;70.20621615561912;6.733680814864944
22;2.0;601363.0;601546.0;183.0;1322.3446739130427;539.677826086957;2.728873305156403;8.540286242641416
